question,choices,back,answer,Question_int
"Mr. Singh has offered $331,000 for a house, providing he is able to obtain acceptable financing. The house lists for $342,000, but the lender has set the lending value at $338,000. The lender requires a loan-to-value ratio of 80% and a gross debt service ratio of 30%. Property taxes are $2,800 per year and Mr. Singh's annual gross income is $80,000. If the interest rate is 5% per annum, compounded semi-annually, the amortization period is 20 years, and payments are made monthly, what is the maximum amount this lender will advance, rounded to the nearest $100?","$270,400|$293,700|$255,600|$268,800","<p>
To answer this question, calculate the maximum amount of money that can be lent out given the two constraints: 
the loan-to-value amount and the gross debt service ratio amount. Calculate the loan amount for the loan-to-value constraint 
and then calculate the loan amount for the GDSR constraint. In order to determine the maximum amount that the lender will advance, 
choose the lesser of the two results.
</p>

<p><b><i>LTV = 80%</i></b></p>
<p style=""margin-left:20px;"">Lending Value = $338,000 </p>
<p style=""margin-left:20px;"">Maximum loan under lender’s LTV criteria = 0.8 × $338,000 = <b>$270,400</b></p>

<p><b><i>GDSR = 30%</i></b></p>

<p style=""text-align:center;"">
  GDSR =
  <span style=""display:inline-block;vertical-align:middle;text-align:center;line-height:1.4;"">
    <span style=""display:block;border-bottom:1px solid currentColor;padding:0 8px;"">
      P + I + T
    </span>
    <span style=""display:block;"">GI</span>
  </span>
   → 0.30 = 
  <span style=""display:inline-block;vertical-align:middle;text-align:center;line-height:1.4;"">
    <span style=""display:block;border-bottom:1px solid currentColor;padding:0 8px;"">
      P + I + $2,800
    </span>
    <span style=""display:block;"">$80,000</span>
  </span>
</p>

<p style=""margin-left:20px;"">P + I = (GDSR × GI) – T </p>
<p style=""margin-left:20px;"">P + I = (0.30 × $80,000) – $2,800 </p>
<p style=""margin-left:20px;"">P + I = <b>$21,200</b> (annual mortgage payment)</p>

<p>The loan states that monthly payments are required, so:</p>

<p style=""margin-left:20px;"">
P + I = $21,200 ÷ 12 = <b>$1,766.67</b> (monthly mortgage payment)
</p>

<p>The next step is to calculate the maximum loan amount given the contract terms and the monthly payment.</p>
<table border=""1"" cellpadding=""6"" cellspacing=""0"" style=""border-collapse:collapse; width:100%; font-family:Arial, Helvetica, sans-serif; font-size:14px;"">
  <thead>
    <tr style=""background:#444; color:#fff;"">
      <th style=""text-align:left;"">Press</th>
      <th style=""text-align:right;"">Display</th>
    </tr>
  </thead>
  <tbody>
    <tr><td>5 ■ NOM%</td><td style=""text-align:right;"">5</td></tr>
    <tr><td>2 ■ P/YR</td><td style=""text-align:right;"">2</td></tr>
    <tr><td>■ EFF%</td><td style=""text-align:right;"">5.0625</td></tr>
    <tr><td>12 ■ P/YR</td><td style=""text-align:right;"">12</td></tr>
    <tr><td>■ NOM%</td><td style=""text-align:right;"">4.948699</td></tr>
    <tr><td>1766.67 +/− PMT</td><td style=""text-align:right;"">−1,766.67</td></tr>
    <tr><td>240 N</td><td style=""text-align:right;"">240</td></tr>
    <tr><td>0 FV</td><td style=""text-align:right;"">0</td></tr>
    <tr><td>PV</td><td style=""text-align:right;"">268,848.379508</td></tr>
  </tbody>
</table>

<p>
The maximum loan under the GDSR is <b>$268,800</b>, rounded to the nearest $100.
</p>

<p>
The maximum loan amount is the lower of the two constraints: $268,800 &lt; $270,400; 
therefore, <b>$268,800</b> is the maximum amount this lender will advance.
</p>

",Correct Option: 4,749
"If an offeror who has stated that the offer is open for 24 hours, decides to terminate the offer, the offeror:",must not terminate the offer until the 24 hours has expired.|must communicate any revocation of the offer to the offeree.|must give reasonable notice to the offeree before revoking the offer.|must give at least 72 hours' notice to the offeree before revoking the offer.,"<p>Option (2) is correct because revocation must always be actually communicated to b e effective. Option (1) is <br>incorrect because an offeror can revoke their offer at any time prior to acceptance, regardless of whether or not the previously stated time limit has expired. Option (3) is incorrect because there is no requirement that the <br>offeror give reasonable notice to the offeree before revoking the offer. Option (4) is incorrect because there is no <br>requirement that the offeror give any pre- determined period of notice before revoking the offer.  <br></p>",Correct Option: 2,750
"A real estate broker has listed a property for sale at a listing price of $100,000. The commission is agreed to be based on the difference between the listed price and the actual sale price. The agreement is:",contrary to the Real Estate Services Act.|lawful if the agreement is reduced to writing and signed by both parties.|specifically provided for as acceptable under the regulations to the Real Estate Services Act.|lawful if the buyer agrees.,"<p>Option (1) is correct because section 60 of the Real Estate  Services  Rules  prohibits entering into an agreement <br>for payment on the basis of a net listing, which is the difference between the price at which real estate is listed <br>for sale, lease or other dis position, and the actual amount realized. Options (2), (3), and (4) are incorrect because <br>this type of commission arrangement is expressly prohibited under section 60 of the Real Estate  Services  Rules , <br>and therefore cannot be agreed to.</p>",Correct Option: 1,751
"A $46,000 second mortgage with interest at the rate of 15% per annum, compounded monthly calls for monthly payments of $643.81 over a 15-year amortization period and a 3-year term. The loan is based on:",an interest only repayment scheme.|a fully amortized repayment scheme.|a variable rate repayment scheme.|a partially amortized repayment scheme.,"<p>Option (4) is correct because when a loan has a term that is shorter than the amortization period, it is a partially <br>amortized loan , i.e., a partially amortized repayment scheme. Options (1), (2), and (3) are therefore incorrect.</p>",Correct Option: 4,752
Which of the following is an example of a short-term national general economic factor?,Population shifts|Number of public housing projects|Expected changes in tax laws|Interest rates on treasury bills,"<p>Option (4) is the correct answer as interest rates on treasury bills  represent short -term national economic <br>factors. Options (1), (2), and (3) represent longer -term economic factors.</p>",Correct Option: 4,753
"The potential buyer of an apartment block has asked an appraiser to do an appraisal of the apartment block in order to determine its market value. The following information has been made available to the appraiser: estimated annual gross realized income is $44,200; estimated long-term vacancy allowance is 4%; estimated annual operating expenses are $17,850. In addition to this information, the appraiser has found a similar property with an effective annual yield of 7.85%. Given the above information, the final estimate of value for the subject property (rounded to the nearest $1,000) on the date of valuation is:","$329,000|$307,000|$323,000|$336,000","<p>
For this question, calculate the NOI from the information given. Then, use the given yield/cap rate on the comparable property 
to estimate the value of the subject property. Note that gross realized income is given, not the gross potential income. 
This means that you only have to deduct expenses from gross realized income to determine NOI.
</p>

<p><b>NOI = Gross Realized Income – Expenses</b><br>
$26,350 = $44,200 – $17,850
</p>

<p style=""text-align:center; margin-top:20px;"">
  Estimated Value =
  <span style=""display:inline-block;vertical-align:middle;text-align:center;line-height:1.4;"">
    <span style=""display:block;border-bottom:1px solid currentColor;padding:0 8px;"">
      NOI
    </span>
    <span style=""display:block;"">Cap Rate (or Yield)</span>
  </span>
</p>

<p style=""margin-left:20px;"">
= $26,350 ÷ 7.85% = $335,668.79 or $336,000 (rounded)
</p>

<p>
The subject property’s market value estimate is <b>$336,000</b>, rounded to the nearest $1,000.
</p>

",Correct Option: 4,754
"As an appraiser working for a large investment firm, you have been asked to determine the value of a small commercial building that produces a net operating income of $48,700 per annum. If the market capitalization rate for similar investments is j  = 20%, the market value of the property is: 1","$243,573.21|$240,000.00|$243,500.00|$247,223.89","<p>Since you would sell the house for its market value, the market value and sale price are the same.  <br> <br>NOISale Price =Cap Rate  <br> = &#36;48,700 &divide; 0.20  <br>  = &#36;243,500</p>",Correct Option: 3,755
"(i)    is a document evidencing a debt owed by the mortgagor to the mortgagee, which carries with it the    (ii)    equitable right to redeem the property on payment of the debt, even after default.",(i) A mortgage; (ii) mortgagee's|(i) An agreement for sale; (ii) buyer's|(i) A mortgage; (ii) mortgagor's|(i) A deposit of the duplicate certificate of title; (ii) borrower's,"<p>Option (3) is correct because a mortgage is a document evidencing a debt, which carries with the mortgagor’s <br>(or borrower’s) equitable right to redeem the property on payment of the debt.  Options (1), (2), and (4) are <br>therefore incorrect.  <br></p>",Correct Option: 3,756
"Fred Jones wants to determine the market value of his property. Unfortunately, he lives in a sparsely inhabited region where there are no similar properties that have recently sold. However, he does know that the replacement cost (new) of his 1,350 square foot house is $38.50 per square foot. The site value estimated using the comparative approach of appraisal is $37,500. Mr. Jones has not taken adequate care of his house and it has depreciated in value. There has been $12,200 of curable physical depreciation. In addition, the bathroom and kitchen fixtures are outdated; their replacement cost is $6,300. Based on the above information, what is the market value of Mr. Jones' property?","$51,975|$89,475|$70,975|$77,275","<p>
Using the cost method of appraisal, calculate the market value of Mr. Jones’ property. 
The market value is calculated by finding the replacement value, subtracting depreciation, and adding the site value.
</p>

<table style=""border-collapse:collapse; font-family:Arial, Helvetica, sans-serif; font-size:14px; margin-left:20px;"">
  <tr>
    <td>Replacement Cost = $38.50 × 1,350</td>
    <td style=""text-align:right;"">$51,975</td>
  </tr>
  <tr>
    <td>− Depreciation = $12,200 + $6,300</td>
    <td style=""text-align:right;"">− 18,500</td>
  </tr>
  <tr>
    <td>+ Site Value</td>
    <td style=""text-align:right;"">+ 37,500</td>
  </tr>
  <tr style=""border-top:1px solid #000; font-weight:bold;"">
    <td>Market Value</td>
    <td style=""text-align:right;"">$70,975</td>
  </tr>
</table>

",Correct Option: 3,757
"Assume that you have a $100,000 mortgage loan at a rate of 10% per annum, compounded semi-annually over a 5-year amortization with monthly payments. If the amortization period of a loan is increased to 10 years and the remaining loan terms are unchanged:",the interest portion of the periodic payments will be reduced.|the amount of outstanding principal at any point in time will be increased.|the interest rate on the mortgage will be reduced.|there is reduced risk to the lender.,"<p>
Lengthening the amortization period means that more time is allowed for the borrower to pay off the loan. 
For constant payment mortgage loans, the initial first payments are composed of a greater portion of interest, 
whereas the last payments are composed of a greater portion of principal payments. 
Below is an example demonstrating changes in amortization.
</p>

<p><b>This example has a 5-year amortization period; calculate OSB<sub>24</sub>.</b></p>

<table border=""1"" cellpadding=""6"" cellspacing=""0"" style=""border-collapse:collapse; width:100%; font-family:Arial, Helvetica, sans-serif; font-size:14px; margin-bottom:15px;"">
  <thead>
    <tr style=""background:#444; color:#fff;"">
      <th style=""text-align:left;"">Press</th>
      <th style=""text-align:right;"">Display</th>
    </tr>
  </thead>
  <tbody>
    <tr><td>10 ■ NOM%</td><td style=""text-align:right;"">10</td></tr>
    <tr><td>2 ■ P/YR</td><td style=""text-align:right;"">2</td></tr>
    <tr><td>■ EFF%</td><td style=""text-align:right;"">10.25</td></tr>
    <tr><td>12 ■ P/YR</td><td style=""text-align:right;"">12</td></tr>
    <tr><td>■ NOM%</td><td style=""text-align:right;"">9.797815</td></tr>
    <tr><td>60 N</td><td style=""text-align:right;"">60</td></tr>
    <tr><td>100000 PV</td><td style=""text-align:right;"">100,000</td></tr>
    <tr><td>0 FV</td><td style=""text-align:right;"">0</td></tr>
    <tr><td>PMT</td><td style=""text-align:right;"">−2,114.769835</td></tr>
    <tr><td>2114.77 +/− PMT</td><td style=""text-align:right;"">−2,114.77</td></tr>
    <tr><td>24 INPUT ■ AMORT</td><td style=""text-align:right;"">PER 24-24</td></tr>
    <tr><td>= = =</td><td style=""text-align:right;"">65,732.530034</td></tr>
  </tbody>
</table>

<p><b>Now extend the amortization period to a 10-year amortization period and calculate OSB<sub>24</sub>. 
The calculator steps continue as follows:</b></p>

<table border=""1"" cellpadding=""6"" cellspacing=""0"" style=""border-collapse:collapse; width:100%; font-family:Arial, Helvetica, sans-serif; font-size:14px; margin-bottom:15px;"">
  <thead>
    <tr style=""background:#444; color:#fff;"">
      <th style=""text-align:left;"">Press</th>
      <th style=""text-align:right;"">Display</th>
    </tr>
  </thead>
  <tbody>
    <tr><td>120 N</td><td style=""text-align:right;"">120</td></tr>
    <tr><td>PMT</td><td style=""text-align:right;"">−1,310.336742</td></tr>
    <tr><td>1310.34 +/− PMT</td><td style=""text-align:right;"">−1,310.34</td></tr>
    <tr><td>24 INPUT ■ AMORT</td><td style=""text-align:right;"">PER 24-24</td></tr>
    <tr><td>= = =</td><td style=""text-align:right;"">86,964.980905</td></tr>
  </tbody>
</table>

<p>
As in the example above, increasing the amortization period will increase the OSB at time 24. 
Therefore, Option (2) is correct. Your payments have decreased and you are stretching out the time needed to pay off the loan. 
You are paying more interest, and since interest is paid more at the beginning than at the end of the loan, 
your payments on principal are delayed; therefore, at each point in time, the amount outstanding on your principal will be greater.
</p>

",Correct Option: 2,758
"An interest accruing mortgage loan requires that $500,000 be paid at the end of a 5-year term. If the rate of interest on the loan is j  = 12%, calculate the amount of funds advanced. 12","$283,713.43|$279,197.41|$312,500.00|$275,224.81","<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    12 I/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    0 PMT
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    60 N
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    500000  +/ − FV 
   </td>
   <td style=""""text-align:right"""">
   −500,000
   </td>
  </tr>
  <tr>
   <td>
    PV
   </td>
   <td style=""""text-align:right"""">
    275,224.807969
   </td>
  </tr>
 </tbody>
</table>

",Correct Option: 4,759
"Which of the following options is defined as the theme of a personal business, encompassing a variety of attributes that distinguish a licensee from competitors?",Listing presentation|Personal brand|Message|Target market,"<p>Option (2) is correct because a personal brand is a reflection of self and how other people (including existing <br>and future clients) perceive the licensee. It comprises the theme of the lic ensee’s personal business and through <br>a variety of attributes, it distinguishes the licensees from competitors. Therefore, Option s (1), (3), and (4) are <br>incorrect.</p>",Correct Option: 2,760
"Steve-Ann, a trading services licensee, has been asked by her friend Jean to find a house and, if successful, Jean has agreed to pay Steve-Ann the sum of $3,000, over and above any commission that Steve-Ann would earn on the sale of the property. When Steve-Ann finds a house acceptable to Jean, Steve-Ann shares the commission with the other licensees involved and receives $3,000 directly from Jean. Steve- Ann does not tell anyone of this $3,000 payment. Which of the following statements are TRUE?",Steve-Ann has breached the provisions of the Real Estate Services Act.|Steve-Ann has breached the common law principles of agency law.|Both (1) and (2) are true.|Neither (1) nor (2) is true.,"<p>Option (1) is correct because section 5 6 of the Real Estate  Services  Rules  requires a licensee to disclose to his or <br>her brokerage the full amount of commission received or anticipated as a result of providing real estate <br>services. Option (2) is incorrect because at common law, an agent is any person who contracts to act for or on <br>behalf of another. Therefore, failing to tell anyone of this &#36;3,000 payment does not breach the common law <br>principles of agency law. Option (3) is incorrect because Option (2) is false. Option (4) is incorr ect because <br>Option (1) is true.</p>",Correct Option: 1,761
"Which of the following BEST describes the ""strata corporation""?","The individual strata owners collectively, once the strata plan has been deposited at the land title office|A body of three to seven elected representatives from among the owners of the strata lots|A corporation formed by a group of individuals who possess an undivided joint ownership interest in the land and/or buildings|A group of professional managers hired by a condominium project to handle the matters affecting the security and maintenance of the common property, facilities, and assets of the condominiums","<p>Option (1) is correct because section 2 of the Strata Property Act  states that the owners of the strata lots in the <br>strata plan are members of the strata corporation, once the strata plan is deposited in the land title office. <br>Option (2) is incorrect because the strata corporation includes all of the individual strata owners, not just <br>elected representatives. Option (3) is incorrect because strata owners own privately owned (divided) strata lots in fee simple, and own common property as tenan ts in common. Option (4) is incorrect because a strata <br>corporation is comprised of the individual strata owners collectively, not a group of professional manag ers <br>hired to perform this role.</p>",Correct Option: 1,762
Which of the following examples would NOT entitle a landlord to terminate a residential tenancy under the British Columbia Residential Tenancy Act?,"Amit, a tenant, has a girlfriend who stays in the apartment with him four or five days a week. They are constantly fighting and screaming late at night, which wakes the other tenants.|Jean Paul, a landlord, wants to give notice to Velma, a tenant, so that Jean Paul's nephew who is moving to Vancouver can live there.|Vittorio, a tenant, has been late in paying his rent for eight months in a row.|Mikhail and Raisa entered a tenancy agreement on May 1 and Raisa moved in on May 15. On June 10, Raisa still had not paid to Mikhail the agreed-upon security deposit.","<p>Option (2) is correct because a landlord can give notice to end a tenancy so that a family member can occupy the premises, but only if this potential occupier is the landlord, or a spouse, child, or parent of the landlord or <br>landlord’s spouse. Option (1) is incorrect because a landlord may end a t enancy if the tenant or a person <br>permitted on the residential property by the tenant has significantly interfered with or unreasonably disturbed <br>another occupant or the landlord of the residential property. Option (3) is incorrect because a landlord may en d <br>a tenancy if rent is a tenant is repeatedly late paying rent. Option (4) is incorrect because a landlord may give the tenant a notice of the end of the tenancy if the tenant does not pay the security deposit within 30 days of the date it is required to d o so under the tenancy agreement.  <br></p>",Correct Option: 2,763
"In relation to the notation of a trust on the title for a property, which of the following correctly describes the meaning of a trustee?",The trustee is the individual or entity in whose name the trust property is held.|The trustee is the individual or entity for whom the property is beneficially held.|The trustee is the financial institution hired by the executor of an estate to handle the transfer of title from the deceased to their heirs.|The trustee is the government agency that is appointed to administer the assets of all persons in British Columbia who become incapable of managing their own affairs.,"<p>Option (1) is correct because a trustee is an individual or entity in whose name a property is held, in trust for <br>the benefit of another person, known as the beneficiary. Option (2) is incorrect because the person who the <br>property is held for the benefit of is known as the beneficiary. Option (3) is incorrect because while an executor <br>may seek assistance in handling a transfer of title from an estate, the title will normally be put into the name of the executor, rather than a financial institution. Option (4) is incorrect because the family members or friends <br>of an incapable person will typically be appointed to make decisions on their behalf, and the Public Guardian <br>and Trustee is generally only appo inted where none are available or willing to act.</p>",Correct Option: 1,764
"Jane purchased a condominium on the understanding that pets were permitted by the bylaws of the strata corporation. Later, the corporation passed a bylaw prohibiting any owner from keeping any animal on their strata lot. When Karl subsequently purchased his lot, he was aware of this new bylaw. The strata council has ordered the removal of Jane's dog and Karl's cat from their lots. Which of the following statements is FALSE?","Karl must remove his cat; the bylaw is enforceable against him.|Jane will not be subject to the new bylaw because she had a dog before the bylaw was passed.|Pet restrictions are valid under the Strata Property Act.|The Schedule of Standard Bylaws allows an owner one dog or one cat, and therefore Karl and Jane can keep their pets.","<p>Option (4) is correct because the Standard Bylaws can be amended by a strata corporation passing their own bylaw restricting pets, and is therefore false. Option (1) is incorrect because Karl purchased his lot after the <br>bylaw was passed, and is therefore t rue. Option (2) is incorrect because bylaws prohibiting pets do not apply to <br>pets living with an owner, tenant, or occupant at the time the bylaw is passed, and is therefore true. Option (3) is <br>incorrect because the <br>Strata Property Act  allows for pet restriction bylaws to be passed, and is therefore true.</p>",Correct Option: 4,765
Which of the following is the MOST common advertising contravention for which a penalty may be imposed?,Failing to display the name of a licensee's brokerage on an advertisement in a prominent and easily readable way|Advertising a team name for a group of related licensees that has not been approved by and registered with the British Columbia Financial Services Authority|A contravention that relates to the advertising of and signage on personal offices|Licensees maintain personal offices and signage indicates that real estate services are provided from the office,<p>Option (1) is correct because the most common advertising contravention for which a penalty may be imposed is <br>failing to display the name of a licensee’s brokerage on an advertisement in a “prominent and easily readable way” <br>as is required under section 40(2)  of the Rules. Option (2) is incorrect because it is the second most common <br>advertising contravention. Option (3) is incorrect because it is the third most common advertising contravention. <br>Option (4) is incorrect because this is included in the third m ost common advertising contravention.</p>,Correct Option: 1,766
"A mortgage loan has a face value of $315,000, an interest rate of j  = 4%, an amortization period of 20 2 years, a term of 5 years, and an option to make accelerated biweekly payments. What is the amount of the accelerated biweekly payment rounded up to the next highest dollar?","$952|$1,579|$889|$1,698","<p>The accelerated bi -weekly payment is ½ of the regular monthly payment.</p><table border='1' cellspacing='0' cellpadding='4'><thead><tr><th>Press</th><th>Display</th></tr></thead><tbody><tr><td>4 &#9632; NOM%</td><td style='text-align:right'>4</td></tr><tr><td>2 &#9632; P/YR</td><td style='text-align:right'>2</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>4.04</td></tr><tr><td>12 &#9632; P/YR</td><td style='text-align:right'>12</td></tr><tr><td>&#9632; NOM%</td><td style='text-align:right'>3.967068</td></tr><tr><td>315000 PV</td><td style='text-align:right'>315,000</td></tr><tr><td>240 N</td><td style='text-align:right'>240</td></tr><tr><td>0 FV</td><td style='text-align:right'>0</td></tr><tr><td>PMT</td><td style='text-align:right'>&minus;1,903.376364</td></tr><tr><td>&divide; 2 =</td><td style='text-align:right'>&minus;951.688182</td></tr></tbody></table><p>The accelerated bi -weekly payment is &#36;952, rounded up to the next higher dollar.</p>",Correct Option: 1,767
"A 50-year-old house is arranged such that when the front door is opened fully, it is possible for a person standing on the porch to look straight down a hallway into the main bathroom. This is NOT an example of:",a design deficiency in today's market.|functional depreciation under the cost approach of appraisal.|a patent defect.|physical curable depreciation.,"<p>Option (4) is correct because i f a person standing on the  porch is able to look straight down a hallway into the <br>main bathroom when the front door is open,  this is not considered to be physical curable depreciation but <br>rather functional and likely incurable.  Option (1) is incorrect because this is considered a d esign deficiency in <br>today’ s market . Options (2) and (3) are incorrect because this describes  a patent defect since it is visible, and <br>functional depreciation under the cost approach of appraisal.  <br></p>",Correct Option: 4,768
"Howard slipped on a patch of ice and broke his ankle when walking up Laura's driveway to deliver a package. As a result, Howard suffered loss of wages until he recovered. Which of the following statements is TRUE?","Howard is a trespasser; therefore, Laura does not owe him a duty of care under the Occupiers Liability Act.|If Laura had taken reasonable and responsible precautions, such as applying sand or salt regularly to prevent ice building up on the driveway, she will likely not be liable to Howard under the Occupiers Liability Act.|If Laura is only a tenant under a month-to-month lease of the premises, she will not be liable to Howard.|Laura will be liable to Howard for all his damages even if she was not negligent.","<p>Option (2) is correct because sectio n 3(1) of the Occupiers Liability Act  requires an occupier of premises to take <br>that care that in all the circumstances is reasonable to see that a person will be reasonably safe in using the <br>premises. By taking these steps, it is likely that Laura met the requisite standard of care and would not be liable. <br>Option (1) is incorrect because an occupier owes a duty of care under the Occupiers Liability Act even to <br>trespassers, unless they are trespassing while committing or having the intention to commit a crim inal act. <br>Option (3) is incorrect because an occupier is defined in the Occupiers Liability Act as a person who is in <br>physical possession of premises, and does not depend on the length of the lease. Option (4) is incorrect because <br>Laura will only be liable  to Howard for his damages if she breached the standard of care owed to Howard, <br>making her negligent.</p>",Correct Option: 2,769
"If investors are able to double their funds in six years, what would be the effective annual rate of interest earned on those funds? Assume that you invest $100 today so that it will grow to $200 in six years.",33.333333%|20.093695%|16.666667%|12.246205%,"<p>
 For this question, invest $100 today (PV) that grows to $200 (FV) to reflect a doubling of funds over six years .
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    100  +/− PV 
   </td>
   <td style=""""text-align:right"""">
   −100
   </td>
  </tr>
  <tr>
   <td>
    200 FV
   </td>
   <td style=""""text-align:right"""">
    200
   </td>
  </tr>
  <tr>
   <td>
    6
   </td>
   <td style=""""text-align:right"""">
    N 6
   </td>
  </tr>
  <tr>
   <td>
    1 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    1
   </td>
  </tr>
  <tr>
   <td>
    0 PMT
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    I/YR
   </td>
   <td style=""""text-align:right"""">
    12.246205
   </td>
  </tr>
 </tbody>
</table>

",Correct Option: 4,770
"An investor has decided to establish a bank account in order to accumulate sufficient capital at the end of seven years to purchase a boat. If the account pays interest at 6% per annum, compounded monthly and the investor makes deposits of $8,000 at the end of each year, how much capital will the investor have accumulated at the end of 7 years?","$67,495.21|$83,123.84|$113,920.74|$91,310.99","<p>
 To solve this problem, first convert the nominal interest rate, compounded monthly, to an annual effective rate
  so that the frequency of compounding matches the frequency of the payments. Since there is no payment being
  made today, there is no present value in this calculation. Then, enter the payments of $8,000 and compute the
  future value that would be available at the end of seven years.
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    6 ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    6
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    6.167781
   </td>
  </tr>
  <tr>
   <td>
    1 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    1
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    6.167781
   </td>
  </tr>
  <tr>
   <td>
    0 PV
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    7  N 
   </td>
   <td style=""""text-align:right"""">
   7
   </td>
  </tr>
  <tr>
   <td>
    8000 +/− PMT
   </td>
   <td style=""""text-align:right"""">
    −8,000
   </td>
  </tr>
  <tr>
   <td>
    FV
   </td>
   <td style=""""text-align:right"""">
    67,495.21364
   </td>
  </tr>
 </tbody>
</table>
<p>
 At the end of seven years, the investor will have accumulated $67,495.21 in the account.
</p>

",Correct Option: 1,771
"Under the Land Title Act, in British Columbia a mortgage is registered on the title as:",a charge.|an agreement for sale.|a right to purchase.|a restrictive covenant.,"<p>Option (1) is correct because in British Columbia, under the Torrens system of land title registration, all <br>mortgages are registered as charges against the title. Options (2), (3), and (4) are incorrect because mortgages are <br>registered only as charges.  <br></p>",Correct Option: 1,772
"In residential building construction, the term ""truss"" refers to which of the following options?","Roof extensions used to provide extra floor area and windows for the upper level|The structural member, usually wood, placed at the top of window openings|A prefabricated frame component supporting the roof|Part of a septic tank water disposal field","<p>Option (3) is correct because a  truss is a prefabricated frame component that supports the roof. Option (1) refers <br>to a dormer, Option (2) refers to a header, and Option (4) refers to one of the many components of a septic tank.</p>",Correct Option: 3,773
"Alex Dupuis wants to purchase Joe Benardo's property. Alex would like to pay $35,000 in cash and take over the existing mortgage that has 233 monthly payments of $900 remaining on the mortgage loan. The interest rate on the original mortgage is j<sub>2</sub>  = 9%, but the current market rate is j<sub>2</sub>  = 6%. What is the market value of the offer?","$100,000.00|$123,690.70|$145,223.67|$159,410.89","<p>
 The market value of Alex ’s offer is the market value of the mortgage plus his cash down payment. Alex will
  assume the remai ning 233 monthly payments of $900. Calculate the market value of the mortgage by
  determining the PV of the remainin g payments based on the current market rate of j<sub>2</sub> = 6%.
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    6 ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    6
   </td>
  </tr>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    6.09
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    5.926346
   </td>
  </tr>
  <tr>
   <td>
    900 +/− PMT
   </td>
   <td style=""""text-align:right"""">
    −900
   </td>
  </tr>
  <tr>
   <td>
    0 FV
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    233 N
   </td>
   <td style=""""text-align:right"""">
    233
   </td>
  </tr>
  <tr>
   <td>
    PV
   </td>
   <td style=""""text-align:right"""">
    124,410.889524 (market value of the mortgage)
   </td>
  </tr>
  <tr>
   <td>
    + 35000 = 
   </td>
   <td style=""""text-align:right"""">
   159,410.889524 (market value of the offer)
   </td>
  </tr>
 </tbody>
</table>
<p>
 The market value of the offer is $159,410.89.
</p>

",Correct Option: 4,774
